Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
NMIH,"Nmi Holdings Inc",35.69,0.81,+2.32%,35.72,36.09,35.37,791200,2025-02-24
NMRA,"Neumora Therapeutics Inc",1.71,-0.09,-5.00%,1.82,1.82,1.69,1126300,2025-02-24
NMRK,"Newmark Group Inc Cl A",13.99,-0.17,-1.20%,14.19,14.28,13.97,796400,2025-02-24
NN,"Nextnav Inc",11.24,-0.56,-4.75%,11.81,11.84,11.16,750600,2025-02-24
NNBR,"NN Inc",2.91,0.02,+0.69%,2.89,2.96,2.83,314600,2025-02-24
NNDM,"Nano Dimension ADR",2.24,-0.01,-0.44%,2.26,2.27,2.2,1977300,2025-02-24
NOVT,"Novanta Inc",138.3,-2.21,-1.57%,140.99,141.01,138.15,553700,2025-02-24
NRC,"National Research Corp",15.58,-0.03,-0.19%,15.77,16.35,15.38,101900,2025-02-24
NRIX,"Nurix Therapeutics Inc",16.86,-0.01,-0.06%,16.9,17.2,16.38,553200,2025-02-24
NSIT,"Insight Enterpr",154.02,-6.85,-4.26%,160.61,165.32,151.34,369900,2025-02-24
NSSC,"Napco Sec Tech Inc",24.36,-0.4,-1.62%,24.68,25,24.2,423900,2025-02-24
NTAP,"Netapp Inc",123.5,-0.97,-0.78%,124.39,125.35,121.17,2339300,2025-02-24
NTCT,"Netscout Systems",23.52,-0.18,-0.76%,23.83,23.83,23.36,424000,2025-02-24
NTES,"Netease Inc ADR",98.89,-4.33,-4.19%,100.5,100.6,96.72,2495800,2025-02-24
NTLA,"Intellia Thera CS",11.51,-0.66,-5.42%,12.02,12.19,11.34,3252600,2025-02-24
NTNX,"Nutanix Inc",68.43,-1.31,-1.88%,69.59,69.81,66.6,2470200,2025-02-24
NTRA,"Natera Inc",158.37,-3.94,-2.43%,162.33,164.02,157.01,1158600,2025-02-24
NTRS,"Northern Trust Corp",112.82,-0.15,-0.13%,113.93,114.26,112.07,1064400,2025-02-24
NUVL,"Nuvalent Inc Cl A",78.03,-1.46,-1.84%,79.25,79.9,76.72,414300,2025-02-24
NVAX,"Novavax Inc",7.41,-0.58,-7.26%,7.89,7.92,7.26,6610900,2025-02-24
NVCR,"Novocure Ltd Ord Sh",21.24,-0.85,-3.85%,22.13,22.13,20.94,825700,2025-02-24
NVDA,"Nvidia Corp",130.28,-4.15,-3.09%,136.56,138.59,130.08,251381109,2025-02-24
NVEE,"Nv5 Global",18.13,0.38,+2.14%,17.85,18.46,17.6,671300,2025-02-24
NVMI,"Nova Ltd",259.15,-9.68,-3.60%,268.76,268.95,257.22,294000,2025-02-24
NWBI,"Northwest Bancshares",12.42,-0.15,-1.19%,12.67,12.67,12.4,665100,2025-02-24
NWE,"Northwestern Energy Group Inc",54.32,0.4,+0.74%,54.3,54.69,53.73,365600,2025-02-24
NWL,"Newell Rubbermaid Inc",6.45,-0.35,-5.15%,6.8,6.8,6.44,15010500,2025-02-24
NWS,"News Corp Cl B",32.32,0.02,+0.06%,32.58,32.65,32.24,864300,2025-02-24
NWSA,"News Corp Cl A",28.46,-0.07,-0.25%,28.79,28.79,28.37,3174500,2025-02-24
NWTN,"Nwtn Inc Cl B",0.691,0.0559,+8.80%,0.67,0.7,0.6043,46100,2025-02-24
NXPI,"Nxp Semiconductors",233.15,-3.37,-1.42%,236.79,238.63,232.87,3130000,2025-02-24
NXST,"Nexstar Media Group Inc",150.59,1.03,+0.69%,149.56,152.93,147.13,338400,2025-02-24
NXT,"Nextracker Inc Cl A",46.7,0.58,+1.26%,46.4,47.66,45.5,2154300,2025-02-24
NYAX,"Nayax Ltd",38.5,-1.11,-2.80%,38.93,38.93,37.81,6100,2025-02-24
NYMT,"New York Mtge Trust",6.71,0.25,+3.87%,6.5,6.72,6.46,1087100,2025-02-24
OABI,"Omniab Inc",3.64,-0.01,-0.27%,3.68,3.79,3.63,370200,2025-02-24
OCFC,"Oceanfirst Financial Corp",17.54,-0.16,-0.90%,17.85,18.21,17.53,241500,2025-02-24
ODD,"Oddity Tech Ltd Cl A",43.16,-0.84,-1.91%,44.04,44.22,42.49,438600,2025-02-24
ODFL,"Old Dominion Freight Line Inc",181.97,1.57,+0.87%,184.84,185.4,181.48,2225600,2025-02-24
ODP,"Office Depot",18.86,0.75,+4.14%,18.31,19.16,17.82,634100,2025-02-24
OFLX,"Omega Flex Inc",36.53,0.28,+0.77%,36.78,38.08,36.33,18700,2025-02-24
OKTA,"Okta Inc Cl A",90.88,-1.87,-2.02%,93.26,93.46,88.85,2853900,2025-02-24
OLED,"Universal Display",157.9,0.6,+0.38%,156.56,161.12,154.31,965100,2025-02-24
OLLI,"Ollies Bargain CS",96.27,-0.51,-0.53%,96.48,97.34,94.88,976800,2025-02-24
OLPX,"Olaplex Holdings Inc",1.45,0.03,+2.11%,1.45,1.47,1.405,923100,2025-02-24
OMCL,"Omnicell Inc",39.83,0.11,+0.28%,39.75,39.95,39.25,394900,2025-02-24
ON,"On Semiconductor",53.4,-0.65,-1.20%,54.33,54.39,52.76,9153000,2025-02-24
ONB,"Old National Bncp",23.27,-0.19,-0.81%,23.65,23.65,23.18,2424300,2025-02-24
ONC,"Beigene Ltd ADR",258.49,3.12,+1.22%,256.5,259.69,254.14,491700,2025-02-24
OPCH,"Option Care Health Inc",32.08,0.08,+0.25%,31.91,32.11,31.67,2357100,2025-02-24
